First Name,Last Name,Homework 1,Homework 2,Homework 3,Homework 4,Lab 1,Lab 2,Exam 1
Peter,Parker,62,96,62,62,99,67,71
Tony,Stark,68,77,73,74,91,79,66
Bucky,Barnes,72,67,62,73,83,85,81
Clint,Barton,81,96,75,61,100,88,95
Steve,Rogers,89,74,87,74,61,77,67
Stephen,Murdock,67,75,67,86,64,87,64
Bruce,Banner,62,99,95,80,70,70,96
Carol,Denvers,99,84,76,71,99,66,82
Nick,Fury,85,91,63,74,97,94,88
Scott,Lang,79,67,78,61,84,94,98
Wanda,Maximoff,66,68,68,80,72,61,84
Peter,Quill,91,74,66,70,78,95,69
James,Rhodes,91,80,64,68,83,69,68
Natasha,Romanoff,89,79,92,97,67,61,70
Stephen1,Strange,88,60,78,79,72,94,88
Stephen2,Strange,95,94,63,97,98,66,95
Stephen3,Strange,75,99,78,61,72,74,84
Stephen4,Strange,72,83,76,88,86,81,85
Stephen5,Strange,88,89,88,96,83,80,62
Stephen6,Strange,78,80,76,91,89,79,100
Stephen7,Strange,91,86,94,70,87,86,89
Hal,Jordan,63,81,69,95,89,92,86
Bruce,Wayne,88,98,78,99,95,80,99
Clarke,Kent,61,76,85,90,65,62,89
Barry,Allen,65,62,82,74,61,95,62
Ray,Palmer,0,0,0,0,0,100,0
Arthur,Parker,0,0,0,0,0,0,0
Victor,Stone,0,0,0,0,0,0,0
Garfield,Logan,0,0,0,0,0,0,0
Rachel,Roth,0,0,0,0,0,0,0
